ID,method,signature,fanIN,fanOUT,localVar,parametersCount,commentToCodeRatio,countPath,complexity,execStmt,maxNesting,readability,cos,Purpose,Notice,UnderDev,StyleAndIde,Metadata,Discarded,longMethod,longParam,messageChains,featureEnvy
1,com.puppycrawl.tools.checkstyle.DefaultLogger:DefaultLogger,Lcom/puppycrawl/tools/checkstyle/DefaultLogger.DefaultLogger(Ljava/io/OutputStream;)Lcom/puppycrawl/tools/checkstyle/DefaultLogger;,0,1,0,1,0.75,0,1,4,0,0.9770842790603638,0.253546276418555,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.CheckStyleTask:setMaxMethodLen,Lcom/puppycrawl/tools/checkstyle/CheckStyleTask.setMaxMethodLen(I)V,0,1,0,1,0.5,0,1,4,0,0.9463658928871155,0.6155870112510924,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.CheckerTest:testBraces,Lcom/puppycrawl/tools/checkstyle/CheckerTest.testBraces()V,Lcom/puppycrawl/tools/checkstyle/CheckerTest.testBracesOff()V,0,3,0,0,0.0,0,6,6,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.Configuration:setJavadocScope,Lcom/puppycrawl/tools/checkstyle/Configuration.setJavadocScope(Lcom/puppycrawl/tools/checkstyle/Scope;)V,8,0,0,1,0.5,0,1,4,0,0.9728657007217407,0.8374357893586237,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.InputPublicOnly:method,Lcom/puppycrawl/tools/checkstyle/InputPublicOnly.method(Ljava/lang/String;)V,0,0,0,1,1.3333333333333333,0,1,3,0,0.9981769919395447,0.0,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.StringArrayReader:read,Lcom/puppycrawl/tools/checkstyle/StringArrayReader.read([CII)I,0,4,0,3,0.06666666666666667,6,6,30,6,0.0019991176668554544,0.0,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.Configuration:isIgnoreImports,Lcom/puppycrawl/tools/checkstyle/Configuration.isIgnoreImports()Z,3,0,0,0,0.5,0,2,4,0,0.9211214780807495,0.40824829046386296,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.MyModifierSet:containsPublic,Lcom/puppycrawl/tools/checkstyle/MyModifierSet.containsPublic()Z,2,1,0,0,0.5,0,3,4,0,0.9553921818733215,0.5163977794943222,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.LineText:LineText,Lcom/puppycrawl/tools/checkstyle/LineText.LineText(Lcom/puppycrawl/tools/checkstyle/LineText;)Lcom/puppycrawl/tools/checkstyle/LineText;,0,2,0,1,0.75,0,1,4,0,0.5982237458229065,0.0,0,0,0,0,0,0,0,0,0,0
1,com.puppycrawl.tools.checkstyle.VerifierSingleton:getInstance,Lcom/puppycrawl/tools/checkstyle/VerifierSingleton.getInstance()Lcom/puppycrawl/tools/checkstyle/Verifier;,2,0,0,0,0.5,0,3,4,0,0.9816378355026245,0.6324555320336759,0,0,0,0,0,0,0,0,0,0
